Tweets;TF;IDF;TF-IDF
Só tem o Alexandre de Moraes trabalhando em Brasília?! O que está sendo feito pelos nossos deputados e senadores que apoiaram Lula p/ responsabilizar terroristas que tocaram fogo em carretas e que tentaram fraudar a eleição?!;Positivo;Negativo;Negativo
#BolsonaroReeleito Bolsonaro 51% Reeleito;Positivo;Negativo;Negativo
Se foi prevaricação ou conivência eu não sei, mas nunca vi ninguém foder tanto o Brasil quanto o Bolsonaro, comparem o país de 2018 com o de agora, naquela época existia o mínimo de estabilidade jurídica, política e liberdade de expressão, fora que até o mula estava preso.;Negativo;Negativo;Negativo
BOLSONARO 51 imóveis comprados com dinheiro vivo. Comente: BOLSONARO NA CADEIA;Negativo;Negativo;Negativo
Não sei vocês, mas todos os dias eu acordo e vou direto para o telefone na esperança de que algo gigantesco aconteça. Isso está mexendo com a vida de todos. Ninguém mais tem uma vida normal desde que Bolsonaro fez despertar o Gigante Adormecido. Que Deus abençoe a nossa nação!;Positivo;Negativo;Negativo
Bolsonaro roubou o dinheiro do povo e deu pra uma empresa de fachada chamada “rei das bandeiras”. Quem me passou essas informações foi o Min. das Comunicações, que depois viu a merda que fez e voltou atrás. Cadê o jornalismo investigativo? Estão ocupados com a blusa da janja?;Negativo;Negativo;Negativo
Lula não provou sua inocência, mostrou que o STF é mais CORRUPTO do que ele. Fato. Concordam?;Negativo;Negativo;Negativo
Lira se desespera para aprovar PEC do rombo que prometeu a Lula: “O tempo é muito curto” Toma vergonha, Traíra!!;Negativo;Negativo;Negativo
Lamentável e revoltante ver o tamanho e magnitude da destruição feita por madeireiros dentro de terras indígenas na Amazônia. Criminosos empoderados pelo governo Bolsonaro.;Negativo;Negativo;Negativo
BOLSONARO NÃO PODE FICAR IMPUNE. Segue o .;Negativo;Negativo;Negativo
espero que o lula crie um decreto pro dia do cabelo maluco no pais inteiro;Negativo;Negativo;Negativo
Bolsonaro não passar a faixa para Lula é uma questão de respeito a história do Brasil. Já basta o pesadelo de ver um chefe de quadrilha subindo a rampa do Palácio. Quem dirá receber a faixa de um presidente honesto e decente.;Positivo;Negativo;Negativo
Lula não gastou 9,4 mil euros em restaurante português, mas Bolsonaro gastou mais de R$ 3,5 milhões em alimentação no avião presidencial;Positivo;Negativo;Negativo
Bolsonaro é um caminho sem volta, você começa alterando a foto do perfil, compra camisa, adesiva o telefone, troca a foto da tela, quando vê foi excluído por amigos, grupo da família, vira amigo de quem nunca viu na vida e só fala de política, é um caminho sem volta, e viciante.;Negativo;Negativo;Negativo
Estão escondendo o que? Estão com MEDO de que ? A PGR trava há três meses o acesso da PF a dados da CPI da COVID em investigações sobre Bolsonaro. É VERGONHOSO ver uma instituição, que deveria ser independente, acobertando crimes. Mas reforço: a VERDADE vai aparecer!;Negativo;Negativo;Negativo
Prezado Bolsonaro! Soube que anda muito triste. Sem motociatas, templos, cercadinho e lives, certamente a vida ficou muito chata. Se o Sr renunciar poderá sair mais cedo para curtir a vida com D. Michelle. Por fim, não confie seu destino a Valdemar, viu? Ele é muito espertinho!;Positivo;Negativo;Negativo
Como pode ? PRF diz que falta dinheiro para manutenção de viaturas na reta final do governo Bolsonaro.Foi a Polícia mais valorizada com os maiores investimentos tanto que o Chefe é apaixonado pelo Bolsonaro . E vcs viram o que ele foi capaz de fazer .;Negativo;Negativo;Negativo
Estão assistindo aos jogos da Copa?;Negativo;Negativo;Negativo
Gente, sério, cadê o Bolsonaro? Será que vai continuar escondido no Palácio do Planalto, como faz uma criança na hora de ir pra escola?;Positivo;Positivo;Negativo
Lula já sinalizou que pretende voltar com o imposto sindical obrigatório. O peso disso? R$ 4 BILHÕES por ano descontados do bolso dos brasileiros. Faz o L.;Negativo;Negativo;Negativo
"Vejam vocês que estão levantando a tag: GLOBO INVESTIGUE BOLSONARO. A Globo não investigará Bolsonaro, porque a Globo é uma das porta-vozes do ""Mercado"" e Bolsonaro é o Office Boy de Paulo Guedes, o operador do ""Mercado"" presidente de fato durante 4 anos. Sigam a @AuditoriaCidada";Negativo;Negativo;Negativo
LULA CADE A MACONHAAAAAAAAAAAAAAAA;Negativo;Negativo;Negativo
Esse discurso da Globo colocando a Tebet como referência máxima e exemplo do feminismo e da democracia tá me fazendo desejar que Lula monte um gabinete ministerial só de homens cujo critério seja medido pelo calibre da rola. Que hipocrisia desgraçada.;Negativo;Negativo;Negativo
Lula daqui a pouco terá câncer nos ovos, de tanto que os jornalistas lambem suas bolas!;Negativo;Negativo;Negativo
41 DIAS PARA O FIM DO GOVERNO BOLSONARO;Negativo;Negativo;Negativo
Não está na hora de pôr um fim à baderna dos que pedem um golpe para impedir que Lula assuma a presidência da República?;Negativo;Negativo;Negativo
URGENTE! Alexandre de Moraes acaba de cancelar o passaporte do BANDIDO Allan dos Santos. Agora ele está está impedido de locomover para outro país a partir dos EUA. ALEXANDRE EU AUTORIZO;Positivo;Negativo;Negativo
O condenado não sobe a rampa! Quem crê diga amém!;Positivo;Negativo;Negativo
Não aceito novas eleições.  Bolsonaro agiu honestamente em toda a campanha. Anulem a chapa do bandido e declarem Bolsonaro o vencedor.;Negativo;Negativo;Negativo
O mercado pediu a cabeça de um ministro da Dilma porque comprou por engano uma tapioca de 8 reais no cartão corporativo, mas não ligou pro Bolsonaro que gastou 3 milhões por mês no mesmo cartão.;Positivo;Negativo;Negativo
A escravidão começava pelo esquecimento da humanidade do povo negro. E o racismo se mantém até hoje pelo esquecimento do processo que nos formou como nação. O Brasil foi o último país a abolir a escravidão nas Américas.;Positivo;Negativo;Negativo
Simone Tebet disse que Bolsonaro estava mudando a alma e o caráter do povo brasileiro. E por isso apoiou o ladrão. Ela tem razão, Bolsonaro plantou a semente do patriotismo e abriu os olhos da galera sobre quem são os verdadeiros inimigos do povo. #LadraoNaoSobeARampa;Negativo;Negativo;Negativo
Perdi tanta gente por causa de política que vou ter que passar o Natal na casa do Presidente Bolsonaro.;Negativo;Negativo;Negativo
Censura nas eleições Lula eleito com 100% dos votos em mais de 140 seções Impossibilidade de análise dinâmica do código fonte Padrão linear de resultado dos votos na apuração Urnas anteriores a 2020 com a mesma numeração Mas se vc achar isso estranho, o antidemocrático é vc!;Negativo;Negativo;Negativo
LUIZ INÁCIO LULA DA SILVA NUNCA MAIS SERÁ PRESIDENTE DO BRASIL. POSSO VÊ UM AMÉM???;Negativo;Negativo;Negativo
Molusco gastou num jantarzinho em lisboa, a bagatela de R$ 52.361,34! E Bolsonaro era massacrado porque comia Pizza na rua em Nova York!;Positivo;Negativo;Negativo
Boa sorte aos estudantes no segundo dia do ENEM. Agora falta pouco. Acreditem na educação e aproveitem bem cada oportunidade. Juntos construiremos o futuro do Brasil.;Negativo;Negativo;Negativo
Você, trabalhador que votou no 13, faz o L aí. Lula quer retomar o imposto sindical obrigatório pra tirar R$4 bilhões de quem trabalha para financiar seus amigos sindicalistas. Obrigatório, viu?;Negativo;Negativo;Negativo
Jair Messias Bolsonaro: Presidente do Brasil! Lula não será diplomado, não subirá a rampa e voltará para onde não deveria ter saído, a cadeia.;Positivo;Negativo;Negativo
Agora que ficou claro que a Ivermectina é mais eficaz e segura que a vacina no combate ao COVID, fica a pergunta: QUEM SÃO OS VERDADEIROS GENOCIDAS?;Negativo;Negativo;Negativo
Aumento de 39% nas mortes provocadas por batimentos cardíacos irregulares no Reino Unido. Aumento de 29.9% em infartos fatais entre jovens adultos nos EUA. Parece que muita gente ao redor do planeta que passou os últimos dois anos dizendo acreditar na Ciência está tendo agora;Negativo;Negativo;Negativo
Bolsonaro e Paulo Guedes pegaram um país com dois dígitos de desemprego. Eram 14/15 milhões de brasileiros humilhados, sem condições de proverem suas famílias. Pandemia veio, crises. Ainda assim, este número DESPENCOU nos últimos 4 anos. Emprego é o VERDADEIRO programa social.;Negativo;Negativo;Negativo
Parece com 64 no sentido de que os governadores de SP, Minas e Rio não vão reprimir ninguém pra valer. Vai ter de ser o Xandão e o Ministério do Interior do Lula. Bota o Alckmin pra bater. Esse sabe!;Negativo;Negativo;Negativo
A Michele fazia programa num hotel conhecido em Brasília. Não é segredo pra ninguém no congresso, inclusive, tem muita GP contratada em gabinete parlamentar sendo paga com dinheiro público. BOLSONARO CORNO #Bolsonarocorno;Positivo;Negativo;Negativo
Os bozolóides vão chorar na porta dos quartéis até 2030 que é o tempo do mandato de Lula. A boa notícia é que temos uma fonte infinita de memes.  Kkkkkk #Caminhoneiros #PATRIOTAS;Negativo;Negativo;Negativo
Primeira mão essa informação. O deputado Mauro Benevides Filho será anunciado na equipe de transição de Lula.;Negativo;Negativo;Negativo
Lula foi tíbio em seus dois mandatos. Tipo engoliu o Mentirão da Folha e do Barbosa, vergonha sobre a qual 1 dia escrevo um livro. Agora, não. Só tem 1 mandato. Hora de coragem!;Positivo;Negativo;Negativo
Ministro da Defesa do Lula vai ser um Honesto Civil. Entre os nomes estão: - Marcola PCC - Fernandinho Beira Mar CV - Ou Alguém da CPX.  O importante que o Amor venceu o Ódio Ps: É só um meme (ou não);Positivo;Negativo;Negativo
eu tô toda roxa e não sei pq;Negativo;Negativo;Negativo
Se têm tanta certeza que as eleições foram limpas, por que não entregam logo esse raio de código fonte?? Quem não deve, não teme!;Negativo;Negativo;Negativo
Fico triste quando vejo brasileiros e brasileiras morando em outros países porque não conseguiram encontrar oportunidades no Brasil. Em nosso governo, muita gente voltou porque recuperamos indústrias e criamos emprego. Espero que a gente faça isso mais uma vez.;Negativo;Negativo;Negativo
Nós podemos fazer um país melhor, um mundo melhor. Podemos fazer o Brasil voltar a ser uma potência.;Negativo;Negativo;Negativo
Nós sabemos que o povo pobre vai no médico e pega receita para um medicamento, mas não tem dinheiro para comprar. Por isso nós vamos voltar a investir no Farmácia Popular.;Positivo;Negativo;Negativo
Tô precisando urgente de um psiquiatra. Durmo e acordo pensando em politica. Não como mais. Trabalho pensando. Faço meu intervalo procurando notícias. Louca pra ler: Lula DESELEITO. Tô ficando doida;Negativo;Negativo;Negativo
TENHAM CERTEZA O Impulsivo vai recolocar o Bolsonaro na Presidência.;Negativo;Negativo;Negativo
Jair Messias Bolsonaro: Presidente do Brasil! Lula não será diplomado, não subirá a rampa e voltará para onde não deveria ter saído, a cadeia.;Positivo;Negativo;Negativo
"""Durante os 580 dias em que LULA esteve preso a PTezada ficou acampada em frente à PF fazendo barulho e baderna, trazendo muito incômodo p/os moradores locais, mas, em nenhum momento o STF classificou isso como manifestações antidemocráticas e não multou ninguém. Porque será?”";Positivo;Negativo;Negativo
A gente não quer violência. O que queremos é um país em paz. Com perspectiva e oportunidade de sobrevivência. Todos nós queremos aquilo que é essencial. Queremos o direito de ter uma casa, criar nossas famílias bem, com escolas de qualidade. Ver nossos filhos na universidade.;Negativo;Negativo;Negativo
"Usando uma gíria de onde ce mora, como ce diria: ""Resolva seus problemas""";Negativo;Negativo;Negativo
Min. Fachin proibiu operações policiais no RJ Min. Moraes proibiu operações da PRF nas eleições Min. Mendes proibiu investigação da PF na FGV Mas para alguns idiotas, quem não permite combate ao crime e corrupção é Bolsonaro.;Negativo;Negativo;Negativo
Lula não vai tomar posse e a esquerda já sabe disso.;Negativo;Negativo;Negativo
Neste perfil eu xingo, falo mal e escumungo o Lula o dia inteiro, e se você vier aqui pra defender, xingarei você também, tá okei!;Negativo;Negativo;Negativo
O Lula frauda tudo, pegou o avião emprestado pra levar sua turma, alugou uma sala onde fez um pulpito de papelão, alias papelão é o que ele fez tentando criar a ideia de que discursou na cop22 - que vergonha, fraudar a cop22?;Negativo;Negativo;Negativo
Pelo que você é grato hoje?;Negativo;Negativo;Negativo
O ministro da Educação do atual presidente dizia que universidade não era para todos. Eu quero que os filhos da classe trabalhadora estudem. O investimento em educação é o mais extraordinário que um país pode fazer.;Negativo;Negativo;Negativo
Nunca se viu na história do país um PR tão covarde e pequeno qto Bolsonaro. Dilma sofreu um impeachment de cabeça erguida - altiva - não despejou uma lágrima, nem ficou de mimimi. Lula passou 580 dias preso injustamente e saiu ainda mais fortalecido. Orgulho! RENUNCIA BOLSONARO!;Negativo;Negativo;Negativo
Fiquei confiante pra trocar uma ideia politica com o Uber pois ele criticou o povo que tá bloqueando as ruas Não deu cinco minutos pra ele chamar o Lula de anticristo;Positivo;Negativo;Negativo
Casa que foi comitê da campanha do Bolsonaro em Brasília agora é usada para encontros do general Braga Netto com políticos aliados e militantes bolsonaristas que defendem golpe militar. Nenhuma surpresa... Que golpistas sejam punidos o quanto antes!!;Negativo;Positivo;Negativo
ENQUANTO O BOZO BRINCAVA DE BLOQUEIO DE ESTRADA, LULA FECHAVA NEGÓCIOS COM O MUNDO. O MERCADO PERCEBEU, LULA TRAZ GRANA. QUEREMOS LULA. @AttuchLeonardo @ZereinaldoJos;Negativo;Negativo;Negativo
Eita dia lindo  já sem restrição ,vou começar a seguir de volta meus amigos novos dia maravilhoso a todos;Positivo;Negativo;Negativo
ver que toda a parte da minha familia que reclamava do jeito que eu me vestia votou no bolsonaro nao me surpreende;Negativo;Negativo;Negativo
A safadeza é tanta que o Braga Netto, vice de Bolsonaro formou o QG DO GOLPE para tramar com os nazifascistas os atos antidemocráticos. Alô @STF_oficial Alô @alexandre;Positivo;Positivo;Negativo
Eu sou presidente da República. Não vou me basear por futrica e por Twitter.;Negativo;Negativo;Negativo
ATENÇÃO! Mais um escândalo descoberto aqui na transição: a SECOM enfiou 13 milhões de reais do dinheiro do povo na Paraná Pesquisas! Existe uma quadrilha na SECOM que irriga todos os os ministérios com muito dinheiro pra manter um projeto de poder. Irão pra cadeia com Bolsonaro.;Positivo;Negativo;Negativo
Informação que corre aqui nos corredores do congresso é que Bolsonaro estaria em depressão profunda e com crises de pânico. O medo da prisão seria a causa. Os gastos de mais de 3 milhões com vinho importado e whisk 18 anos a bordo do avião presidencial seria só a ponta do iceberg;Positivo;Negativo;Negativo
jornal falando que nao vai vender cerveja na copa, pessoas no tt preocupadas com a liberdade de diogo defante, pessoas com medo do twitter acabar... como é gostosa a vida sem o bolsonaro enchendo o nosso saco;Positivo;Negativo;Negativo
Usando a mesma desculpa da parcialidade do juíz Moro para anular sentença do Lula, podem agora anular a eleição por parcialidade do Juíz no TSE.;Positivo;Negativo;Negativo
Obrigado galeraaa de esquerda! Obrigadooo mesmo! @Nilsonhandebol essa ideia de nos fortalecer é perfeita! Já segui a todos, caso não tenha seguido alguém, avise aqui pfvr.;Positivo;Negativo;Negativo
Lula não foi convidado para falar na COP27. Não está na agenda oficial e não existem fotos com chefes de Estado. A ONG esquerdista “Consórcio Interestadual Amazônia Livre” o chamou para uma palestra no estande deles, só isso. E fizeram um carnaval… Você já está sendo enganado!;Negativo;Negativo;Negativo
Lula nem assumiu o governo ainda, mas é impressionante como o país mudou em duas semanas. Exemplos práticos: I) Furar o teto de gastos (inclusive para fins eleitoreiros), na ordem de R$ 795 bilhões em 4 anos, era totalmente aceitável. Agora, subitamente, virou um problema.;Negativo;Negativo;Negativo
Fiquei feliz ao saber de uma carta de pessoas importantes me alertando sobre problemas econômicos e dando sugestões. Eu sei ouvir conselhos e, se fizer sentido, seguir.;Negativo;Negativo;Negativo
Vocês querem entender a gravidade do descontrole sobre armas de fogo do Governo Bolsonaro e como ele armou a criminalidade? De 49 fuzis T4 da Taurus, apreendidos no Sudeste com facções criminosas, 34 tinham sido adquiridos LEGALMENTE com registro de CAC. ESTARRECEDOR!;Positivo;Negativo;Negativo
Bolsonaro nem saiu e já está fazendo falta. Depois de ver o que está acontecendo com o país, meu arrependimento é não ter apoiado nosso presidente do início ao fim. Mas farei tudo o que estiver ao meu alcance lutando por liberdade e, dessa forma, tentar compensar meus erros.;Negativo;Negativo;Negativo
toda vez que eu volto pro Tinder é o mesmo roteiro: não consigo manter 5 minutos de conversa com ninguém. dou uns matchs, alimento meu ego, me sinto vazia e nunca mais volto (até retomar o ciclo;Negativo;Negativo;Negativo
O Brasil vai parar geral. Dobraram a aposta, preparem!!!!!;Negativo;Negativo;Negativo
Vou assinar o Prêmio Camões para o Chico Buarque, que o atual presidente nunca quis assinar. E se Deus quiser vou voltar a Portugal quando ele receber o prêmio.;Negativo;Negativo;Negativo
*JAPÃO DECLARA AO MUNDO QUE A IVERMECTINA É MAIS EFICAZ QUE A VACINA* E agora? Quem estava certo? Quem vai pedir desculpa a Bolsonaro? Quem vai ter humildade de pedir desculpa às famílias que perderam seus entes queridos?;Neutro;Negativo;Negativo
Acabei de assistir à coletiva do Lula e do Primeiro-ministro de Portugal. Eu não estava acostumado a ver o presidente brasileiro ser bem educado, sorrir e responder com humildade sem ofender os jornalistas. É muita diferença!;Negativo;Negativo;Negativo
Eu não consigo acreditar que a imprensa e todos esses doutores em economia foram “enganados” pelo discurso de “arrependimento e aprendizado” do Lula. Pelo contrário, Lula nunca sequer pediu desculpas ao povo brasileiro pelos trilhões encontrados pela lava-jato.;Negativo;Negativo;Negativo
LULA ELEITO FIM DE HOLIVIA ALBUM NOVO DO LOUIS E ELE EM 1# COPA DO MUNDO HARRY NO BRASIL NUNCA ESTIVE TAO FELIZ;Positivo;Negativo;Negativo
Nenhuma palavra do presidente contra os atos antidemocráticos. Nenhum movimento contra os ataques que a nossa Democracia vem sofrendo. Quem cala consente, Bolsonaro, e é por isso que o povo te expulsou da presidência.;Negativo;Negativo;Negativo
#Caminhoneiros Sabe o que o Lula e os próximos presidentes devem fazer? Investir em ferrovias, colocar o transporte de alimentos e bens novamente nos trens. Chega de ficar na mão de caminhões. Nossas estradas ficarão menos perigosas. Deixar as estradas para carros e ônibus.;Negativo;Negativo;Negativo
O que eu acho muita loucura é o brasileiro não distinguir entre quem plantou e quem colheu. Lula no 1º mandato colheu o que FHC plantou em seus 2 mandatos. E Lula saiu como herói. Lula plantou a política econômica que destruiu o país e Dilma continuou e colheu seu impeachment.;Negativo;Negativo;Negativo
Com o fim do seu mandato, Bolsonaro perde o furo privilegiado. Digo, o foro…;Negativo;Negativo;Negativo
queria tá igual o Bolsonaro, 15 dias sem trabalhar e o salário na conta;Negativo;Negativo;Negativo
Forças Armadas não aderiram a transição e fecharam a porta para interlocutores de Lula;Positivo;Negativo;Negativo
Você já brigou por causa do Presidente Bolsonaro?;Negativo;Positivo;Negativo
PESSOAL POBRE, VOCÊS PRECISAM MESMO DE COMER??? NÃO DÁ PRA SEGURAR ATÉ 2026??? SE O LULA COLOCAR COMIDA PARA VOCÊS COMO PRIORIDADE, A BOLSA PODE CAIR MAIS!!! SÓ HOJE OS ESPECULADORES FINANCEIROS PERDERAM 2%, VOCÊS NÃO TEM PENA DELES??? EGOÍSTAS!!!;Negativo;Negativo;Negativo
eu gostaria de deixar muito claro aqui que eu ADORARIA ver jair bolsonaro se lascando de todas as formas possíveis e imagináveis isolado choroso acamado debilitado deprimido passando pelas PIORES coisas que um ser humano pode passar essa moral cristã eu não carrego não;Negativo;Negativo;Negativo
Usar a Globo como fonte de informação é o mesmo que usar o Lula como referência de honestidade!;Negativo;Negativo;Negativo
Lembre-se do que ensinou Napoleão Bonaparte, um dos maiores estrategistas da história: “Nunca interrompa um inimigo enquanto ele estiver no processo de auto-destruição” O silêncio do Presidente Bolsonaro é proporcional ao desespero da esquerda, que se enforca cada vez mais.;Negativo;Negativo;Negativo
Bolsonaro empregou 31 pessoas na transição, Lula até agora só 14! Bolsonaro custou o dobro, o resto é conversa fiada de”patriota” vagabundo fazendo “patriotagem” com o dinheiro dos nossos impostos, e tentando desviar o foco!;Negativo;Negativo;Negativo
Em 2023, faremos uma Cúpula da Amazônia, com todos os países que tem parte da Amazônia. Nós nunca nos reunimos para apresentar uma proposta ao mundo. Não é só preservar, mas queremos saber como que o mundo irá nos ajudar a cuidar do que é bom para o planeta terra todo. #COP27;Negativo;Negativo;Negativo
Bolsonaro é um ladrão! Passou 4 anos roubando o dinheiro do povo e escondendo a sujeira debaixo do tapete! Estamos levantando todos os seus crimes para que o presidente Lula possa decretar o revogaço na comunicação e expô-lo pro mundo! Esse bandido irá pra cadeia! Escrevam isso!;Negativo;Negativo;Negativo
""" A eleição acabou eu sou Bolsonaro vc é lula, vamos ser amigos?"" NÃO.";Negativo;Negativo;Negativo
O Silêncio do Bolsonaro tá deixando o Consórcio em polvorosa e desespero. Se eles soubessem o q virá...;Negativo;Negativo;Negativo
O Lula roubou bilhões, mas não comprou nenhum triplex. Já a família bolsonaro nunca roubou e comprou 51 imóveis com dinheiro vivo.;Negativo;Negativo;Negativo
Tem muita gente que ganha dinheiro com a oscilação da bolsa e do dólar causadas pelas falas desastrosas de Lula. Lula, os farialimers lulistas e os banqueiros estariam “combinando o jogo”?;Negativo;Negativo;Negativo
Se você for nos grupos de whatsapp parece que a economia brasileira afundou após/por causa da eleição do Lula. Abundam Índices negativos falsos e/ou descontextualizados, noticias manipuladas, etc. E não, não estou falando apenas dos grupos bolsonaristas.;Positivo;Negativo;Negativo
Imprensa oligopolista brasileira já mostrou que vai chantagear o governo Lula dia e noite, 7 dias por semana;Negativo;Negativo;Negativo
Quando Bolsonaro venceu em 2018, a equipe de transição dele tinha 20 pessoas Só os nomes do Alckmin já ultrapassam 200 pessoas Eles tão com fome de $$ público Vamos falir em 1 ano;Negativo;Negativo;Negativo
Governo Bolsonaro NÃO comprou vacinas de 2.a geração da COVID: “mercado” não vai reagir? Bolsa vai cair? Dólar vai subir? Alô, mercadinho?!;Negativo;Negativo;Negativo
Lula foi ao Egito participar da COP27 no jato do empresário José Seripieri, o Júnior. Dono da operadora de planos QSaúde, Júnior é um bilionário cheio de amigos poderosos a quem gosta de emprestar aeronaves, convidar para passear de iate e para visitar sua casa em Angra.;Negativo;Negativo;Negativo
 PROJEÇÃO- PRIMEIRA AVALIAÇÃO AO GOVERNO LULA (PT) Ótimo/Bom: 51% Regular: 14% Ruim/Péssimo: 35% Datafolha  DATA PREVISTA: 02/04/2023;Positivo;Negativo;Negativo
É muito grave revelação do TCU de que 79 mil militares receberam auxílio emergencial indevidamente durante a pandemia. O governo Bolsonaro nunca foi transparente  para abrir espaço para todo tipo de fraude. É preciso um pente-fino para acabar com qualquer irregularidade!;Negativo;Negativo;Negativo
"Lula: ""Vai cair a bolsa, vai aumentar o dólar, paciência!"" Faz o L";Positivo;Negativo;Negativo
"Quando os falsos patriotas falam que ""a nossa bandeira jamais será vermelha"", será que eles sabem que o nome do nosso País é referência à uma árvore, cujo tronco é vermelho como  a ""Brasa"" e por isso tem o nome de Pau Brasil? Vermelho está no nosso sangue e no nome do nosso País!";Negativo;Negativo;Negativo
A equipe de transição de Lula até agora: - 18 nomes condenados ou suspeitos de crimes de corrupção - Economistas respeitados tendo orientações ignoradas - Integrantes que defendem fake news como combate político - representantes de movimentos que invadem terras.;Neutro;Negativo;Negativo
assim como o presidente não-eleito jair bolsonaro hoje estou apático, depressivo e sem vontade de trabalhar;Positivo;Negativo;Negativo
QUANDO LULA FALA DO CLIMA, TODO MUNDO APLAUDE, MAS QUANDO BOLSONARO FALOU DO CLIMA (NO CASO, UM CLIMA ENTRE ELE E UMA MENINA DE DOZE ANOS), TODO MUNDO CRITICOU!!! POR QUE ESSA DISTINÇÃO???;Negativo;Negativo;Negativo
Janja vai continuar usando roupa boa e cara. Lula vai continuar usando relógio caro e morando bem. Porque a esquerda não prega voto de pobreza. A esquerda quer que o pobre tenha trabalho e acesso a tudo de bom que a sociedade produz. Quem gosta de pobre na miséria é a direita!;Negativo;Negativo;Negativo
que vício você tem...  que fica difícil para você deixar?;Negativo;Negativo;Negativo
"Um homem chega ao psicólogo relatando uma tristeza profunda após uma derrota que sofreu. O psicologo diz:  vc precisa se divertir, ver coisas engraçadas. Já leu as noticias sobre o bolsonaro chorando? ""Mas doutor"" diz o homem";Negativo;Negativo;Negativo
Vamos criar o Ministério dos Povos Originários, para que os próprios indígenas apresentem propostas para sobrevivência digna, segurança, paz e sustentabilidade. Os povos originários e aqueles que residem na região Amazônica devem ser os protagonistas da sua preservação. #COP27;Negativo;Negativo;Negativo
